,1_month,2_month,3_month,4_month,5_month,6_month,7_month,8_month,9_month,10_month,11_month,12_month
peru,0.6970875082295169,0.6154025908986547,0.508639263424929,0.39828753110279214,0.3083818842560355,0.2589925188680453,0.19853366188173383,0.11083907741384613,0.09506933455641542,0.06230734265920035,0.025198301332490236,0.07015406571130889
colombia,0.6304236695882479,0.38868588019348926,0.16531984721584236,-0.041504363451494664,-0.2673397355631222,-0.5383411194319478,-0.8977435210857523,-1.2744586543118364,-1.6403232413147184,-2.055680384764953,-2.238357896174989,-2.5259792044289435
mexico,0.35840007150320197,0.0022724987836068022,-0.10949987225195068,-0.19306469866066278,-0.25610001474119626,-0.2801422137884635,-0.2604687574570508,-0.1648311321010918,-0.1465949565139526,-0.15426515848244327,-0.25402908207622255,-0.38952279353905084
dominican,0.3258580015554874,-0.03028689284574848,-0.24906309887688294,-0.5684102092771746,-1.081286672918714,-1.67033886816027,-2.380746534709607,-2.852846474922416,-3.0997485387780683,-3.263925666144612,-3.771573786513553,-3.959620816472726
honduras,0.5394236495235895,0.2763899846031984,0.0563423417702098,-0.2732179617514976,-0.5803799220604218,-0.8639366205750054,-1.0491152716534953,-1.3179769068078966,-1.6208625692100376,-2.194070358004113,-2.990666264104745,-4.085282656936285
elsalvador,-0.8765303419667028,-1.0965199228732687,-1.4130165647218123,-2.130035100046483,-3.2070745908196177,-7.062080211351274,-9.992565056722855,-12.225722408523856,-18.278190086331346,-19.06555361978736,-22.247594358816073,-43.79435797591168
